Team1Index,Team1,Team2Index,Team2,score1,score2,scoreDiff
NA,Fla. National,NA,FGCU,74,91,-17
NA,Northern Ill.,NA,Pittsburgh,59,89,-30
NA,Rider,63,Syracuse,52,87,-35
NA,Oakland,56,Oklahoma St.,71,84,-13
NA,Sul Ross St.,NA,UTEP,65,84,-19
NA,UNLV,NA,Kansas St.,68,58,10
NA,Tarleton St.,49,Abilene Christian,48,69,-21
NA,Rice,NA,Houston Baptist,86,64,22
NA,Ark.-Pine Bluff,NA,Saint Louis,54,107,-53
40,BYU,29,Utah St.,67,64,3
NA,Portland St.,NA,Portland,73,86,-13
NA,Tennessee Tech,NA,Western Caro.,75,76,-1
23,Villanova,37,Texas,68,64,4
NA,Southern Wesleyan,NA,Mercer,85,96,-11
9,Missouri,11,Wichita St.,72,62,10
NA,Stetson,25,Florida,40,86,-46
NA,Coppin St.,68,Drexel,54,69,-15
NA,Stanford,NA,N.C. A&T,78,46,32
NA,Grambling,24,Texas Tech,40,81,-41
NA,Judson (AL),NA,Valparaiso,45,85,-40
67,Cleveland St.,14,Ohio,46,101,-55
NA,New Hampshire,NA,Quinnipiac,58,64,-6
NA,Stony Brook,NA,St. John's (NY),66,89,-23
NA,St. Ambrose,12,Drake,53,97,-44
NA,Carver,NA,North Ala.,40,107,-67
NA,Xavier,NA,Cincinnati,77,69,8
NA,Mississippi Val.,NA,Western Ky.,69,96,-27
NA,Central Ark.,NA,Little Rock,83,86,-3
NA,Troy,NA,UAB,55,77,-22
NA,UC Riverside,NA,Denver,83,63,20
NA,ULM,NA,Northwestern St.,92,83,9
NA,Central Mich.,NA,Western Ill.,79,73,6
NA,UTRGV,NA,Texas A&M,68,81,-13
NA,Greensboro,NA,Longwood,67,64,3
NA,La Salle,NA,Army West Point,59,63,-4
NA,Binghamton,NA,Marist,60,64,-4
NA,N.C. Wesleyan,18,App State,57,81,-24
NA,UCF,35,Michigan,58,80,-22
NA,Seattle U,NA,Long Beach St.,75,80,-5
8,Oklahoma,NA,TCU,82,78,4
NA,Wyoming,64,Oregon St.,76,73,3
55,West Virginia,47,Georgetown,80,71,9
NA,Pepperdine,58,San Diego St.,60,65,-5
NA,Kentucky,61,Georgia Tech,62,79,-17
NA,Quincy,NA,Southern Ill.,61,102,-41
NA,LSU-Alexandria,NA,SFA,79,97,-18
NA,Louisiana Tech,42,LSU,55,86,-31
NA,Howard Payne,NA,Sam Houston St.,54,117,-63
NA,Western Mich.,45,Michigan St.,61,79,-18
NA,Buffalo,NA,Bowling Green,78,86,-8
NA,Bellarmine,NA,Howard,84,63,21
